Altium Designer Pick and Place Locations
D:\farmbot\PCB\Farmduino\1.5\Project Outputs for FMB-genesis 20a\Pick Place for FMB-genesis 20a.csv

========================================================================================================================
File Design Information:

Date:       30.09.20
Time:       18:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P9","Header 7","TopLayer","DIP-1*7-2.54","2004.688","2330.625","360","Header, 7-Pin"
"P10","Header 7","TopLayer","DIP-1*7-2.54","1199.688","2330.625","360","Header, 7-Pin"
"P11","Header 7","TopLayer","DIP-1*7-2.54","394.688","2330.625","360","Header, 7-Pin"
"P12","Molex 151048-1206","TopLayer","151048","5016.735","3605.625","270","Header, 2-Pin"
"P13","Molex 151048-1206","TopLayer","151048","5016.735","3096.875","270","Header, 2-Pin"
"P14","Molex 151048-1206","TopLayer","151048","5016.735","2588.125","270","Header, 2-Pin"
"P15","Molex 151048-1206","TopLayer","151048","5016.735","2079.375","270","Header, 2-Pin"
"P16","Molex 151048-1206","TopLayer","151048","5016.735","1570.625","270","Header, 2-Pin"
"R1","10K,1%,0603","TopLayer","RC0603","3495.000","277.559","270","Resistor"
"R6","10R,1%,0603","TopLayer","RC0603","4112.247","3660.625","0","Resistor"
"R7","10R,1%,0603","TopLayer","RC0603","4142.247","3144.375","0","Resistor"
"R8","10R,1%,0603","TopLayer","RC0603","4112.247","2622.500","0","Resistor"
"R9","10R,1%,0603","TopLayer","RC0603","4112.247","2131.875","0","Resistor"
"R10","10R,1%,0603","TopLayer","RC0603","4112.247","1660.625","360","Resistor"
"R11","10K,1%,0603","TopLayer","RC0603","4083.769","3573.184","90","Resistor"
"R12","10K,1%,0603","TopLayer","RC0603","4113.769","3056.934","90","Resistor"
"R13","10K,1%,0603","TopLayer","RC0603","4083.769","2534.862","270","Resistor"
"R14","10K,1%,0603","TopLayer","RC0603","4083.769","2044.434","90","Resistor"
"R15","10K,1%,0603","TopLayer","RC0603","4083.769","1573.184","90","Resistor"
"R16","4.7K,1%,0603","TopLayer","RC0603","4402.441","155.000","180","Resistor"
"R17","4.7K,1%,0603","TopLayer","RC0603","4517.247","155.625","360","Resistor"
"R18","1M,1%,0603","TopLayer","RC0603","2955.000","867.441","90","Resistor"
"R19","10R,1%,0603","TopLayer","RC0603","2987.559","950.000","180","Resistor"
"R20","10K,1%,0603","TopLayer","RC0603","3174.688","672.987","270","Resistor"
"R23","2K,1%,0603","TopLayer","RC0603","3302.559","1345.000","180","Resistor"
"R21","2K,1%,0603","TopLayer","RC0603","3055.000","532.559","270","Resistor"
"R25","0.22R,1%,1206","TopLayer","1206R","1830.000","3170.000","270","Resistor"
"R26","0.22R,1%,1206","TopLayer","1206R","3430.000","3170.000","270","Resistor"
"R27","10K,1%,0603","TopLayer","0603R","2635.000","1840.000","360","Resistor"
"R28","10K,1%,0603","TopLayer","0603R","3000.000","1085.000","360","Resistor"
"R29","0.22R,1%,1206","TopLayer","1206R","2365.000","3170.000","270","Resistor"
"R30","0.22R,1%,1206","TopLayer","1206R","3925.000","3170.000","270","Resistor"
"R31","0.22R,1%,1206","TopLayer","1206R","2630.000","3170.000","270","Resistor"
"R32","0.22R,1%,1206","TopLayer","1206R","1030.000","3170.000","270","Resistor"
"R33","0.22R,1%,1206","TopLayer","1206R","230.000","3170.000","270","Resistor"
"R34","10K,1%,0603","TopLayer","0603R","2625.000","1765.000","180","Resistor"
"R38","10K,1%,0603","TopLayer","RC0603","607.246","1110.625","360","Resistor"
"R39","1M,1%,0603","TopLayer","RC0603","724.688","653.066","270","Resistor"
"R40","2K,1%,0603","TopLayer","RC0603","1095.982","865.625","180","Resistor"
"R41","2K,1%,0603","TopLayer","RC0603","1095.982","805.625","180","Resistor"
"R42","10R,1%,0603","TopLayer","RC0603","784.688","653.184","90","Resistor"
"R43","10R,1%,0603","TopLayer","RC0603","542.246","870.625","360","Resistor"
"R44","10R,1%,0603","TopLayer","RC0603","542.246","930.625","360","Resistor"
"R45","1K,1%,0603","TopLayer","RC0603","964.688","641.499","90","Resistor"
"R46","1K,1%,0603","TopLayer","RC0603","1512.129","615.625","180","Resistor"
"R47","10K,1%,0603","TopLayer","RC0603","1489.215","980.625","360","Resistor"
"R48","1K,1%,0603","TopLayer","RC0603","1089.859","1110.277","360","Resistor"
"R49","1M,1%,1206","TopLayer","RC1206","194.688","1885.507","270","Resistor"
"R50","20K,1%,0603","TopLayer","0603C","2965.003","2149.615","90","Resistor"
"R77","100K,1%,0603","TopLayer","0603C","3835.000","960.591","270","Resistor"
